 subject_code,family_code,family_nbr,series_code,subject_title,family_title,var_1,var_2,var_3,var_4,var_5,val_1,val_2,val_3,val_4,val_5,interval,offset,magnitude,unit,period,value,status,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2004.03,104.2,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2005.03,99.7,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2006.03,98.8,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2007.03,98.6,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2008.03,101.5,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2009.03,96.5,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2010.03,96,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2011.03,103.3,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2012.03,101.9,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2013.03,100.7,F,
